run_id,selector_type,prompt_id,model_name,pair_id,original_candidate_count,unique_candidate_count,duplicate_rows_removed,original_top5_unique_count,final_top5_unique_count,top5_underfilled
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G024,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G023,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G021,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G016,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G027,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G020,6,6,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G014,4,4,0,4,4,True
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G001,10,10,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G005,4,4,0,4,4,True
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G009,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G004,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G002,10,5,5,3,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G006,6,6,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G022,4,4,0,4,4,True
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G013,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G008,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G015,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G028,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G007,10,5,5,3,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G019,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G018,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G011,5,5,0,5,5,False
vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,G012,5,5,0,5,5,False
